"France","Romania","2016-06-10 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017877/index.html"
"Albania","Switzerland","2016-06-11 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017878/index.html"
"Wales","Slovakia","2016-06-11 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017880/index.html"
"England","Russia","2016-06-11 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017879/index.html"
"Turkey","Croatia","2016-06-12 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017884/index.html"
"Poland","Northern Ireland","2016-06-12 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017882/index.html"
"Germany","Ukraine","2016-06-12 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017881/index.html"
"Spain","Czech Republic","2016-06-13 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017883/index.html"
"Republic of Ireland","Sweden","2016-06-13 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017954/index.html"
"Belgium","Italy","2016-06-13 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017953/index.html"
"Austria","Hungary","2016-06-14 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017960/index.html"
"Portugal","Iceland","2016-06-14 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017959/index.html"
"Russia","Slovakia","2016-06-15 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017888/index.html"
"Romania","Switzerland","2016-06-15 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017886/index.html"
"France","Albania","2016-06-15 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017885/index.html"
"England","Wales","2016-06-16 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017887/index.html"
"Ukraine","Northern Ireland","2016-06-16 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017890/index.html"
"Germany","Poland","2016-06-16 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017889/index.html"
"Italy","Sweden","2016-06-17 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017956/index.html"
"Czech Republic","Croatia","2016-06-17 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017892/index.html"
"Spain","Turkey","2016-06-17 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017891/index.html"
"Belgium","Republic of Ireland","2016-06-18 15:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017955/index.html"
"Iceland","Hungary","2016-06-18 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017962/index.html"
"Portugal","Austria","2016-06-18 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017961/index.html"
"Romania","Albania","2016-06-19 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017894/index.html"
"Switzerland","France","2016-06-19 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017893/index.html"
"Slovakia","England","2016-06-20 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017895/index.html"
"Russia","Wales","2016-06-20 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017896/index.html"
"Northern Ireland","Germany","2016-06-21 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017897/index.html"
"Ukraine","Poland","2016-06-21 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017898/index.html"
"Czech Republic","Turkey","2016-06-21 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017900/index.html"
"Croatia","Spain","2016-06-21 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017899/index.html"
"Hungary","Portugal","2016-06-22 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017964/index.html"
"Iceland","Austria","2016-06-22 18:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017963/index.html"
"Italy","Republic of Ireland","2016-06-22 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017958/index.html"
"Sweden","Belgium","2016-06-22 21:00:00","/uefaeuro/season=2016/matches/round=2000448/match=2017957/index.html"
"Runner-up A","Runner-up C","2016-06-25 15:00:00","/uefaeuro/season=2016/matches/round=2000744/match=2017996/index.html"
"Winner B","Third-place A/C/D","2016-06-25 18:00:00","/uefaeuro/season=2016/matches/round=2000744/match=2017997/index.html"
"Winner D","Third-place B/E/F","2016-06-25 21:00:00","/uefaeuro/season=2016/matches/round=2000744/match=2017998/index.html"
